Country,Date,Reference,Region,Summary,Title,Topics,Traveler
France,1923,"MC 566,1.4",Europe,Letters to her parents while working in Paris.,"Correspondence, Langer to parents, November 1923","letters, food, family life, accommodation, education, music, shopping, climate","Langer, Rowena (Morse)"
France,1923,"MC 566,1.5",Europe,"Letters to her parents while at Sorbonne University, Paris.","Correspondence, Langer to parents, December 1923","family life, customs, education, shopping, entertainment, food, clothing, sport","Langer, Rowena (Morse)"
"France",1924,"MC 566,1.6",Europe,"Letters to her parents while at Sorbonne University, Paris.","Correspondence, Langer to parents, January 1924","letters, sport, money, clothing, family life, accommodation","Langer, Rowena (Morse)"
France,1924,"MC 566,1.7",Europe,"Letters to her parents while at Sorbonne University, Paris.","Correspondence, Langer to parents, February 1924","letters, entertainment, education, family life","Langer, Rowena (Morse)"
France,1924,"MC 566,1.8",Europe,Letters to her parents while at Sorbonne University in Paris.,"Correspondence, Langer to parents, March 1924","letters, climate, entertainment, clothing, music","Langer, Rowena (Morse)"
France,1924,"MC 566,1.9",Europe,"Letters to her parents while at Sorbonne University, Paris.","Correspondence, Langer to parents, April 1924","letters, entertainment, education, family life, monuments, natural history, language, food","Langer, Rowena (Morse)"
France,1923,MC 566 PD.1,Europe,Photographs of Langer and friends taken while at University in Paris.,Photographs of Langer and others,"photographs, education","Langer, Rowena (Morse)"
France,1923,"MC 566, 2.2-2.3",Europe,"Letters to Langer from her family, science notes, business cards and invitations while studying in Paris. October 1923-May 1924.","Letters to Langer from her family, science notes, business cards and invitations while studying in Paris. October 1923-May 1924","letters, science, education","Langer, Rowena (Morse)"
Egypt,1912,"M 133, v 92",Africa,"Miscellaneous items, including postcards of Egypt and hotel guides.","Loose items from M 133, v 91 (journal re travels to Egypt, 1912)","travel writing, diaries, desert, customs, natural history, accommodation, tourism","Seton-Thompson, Grace (Gallatin)"
Egypt,1948,"MC 433, Box 22, item 589",Middle East,"The first volume of a travel journal describing an official visit to Egypt with her husband, Joseph Lindon Smith, the artist, to paint scenes of antiquity at Luxor. Includes accounts of receptions and regular problems with undisciplined students.","Joseph and Corinna in Egypt, Volume I, December 1948-February 1949","diaries, air, rail, work, clothing, industry, art, monuments, desert, history, ceremony, education, health and medicine","Smith, Corinna Haven Lindon (Putnam)"
Egypt,1949,"MC 433, Box 22, item 590",Middle East,"The second volume of a travel journal describing an official visit to Egypt with her husband, Joseph Lindon Smith, the artist, to paint scenes of antiquity at Luxor, including paintings of Sakkana and Kagemni. There is also an account of a new archaeological discovery.","Joseph and Corinna in Egypt, Volume II, March 1949-April 1949","diaries, work, road, exploration, art, history, clothing, food, education, monuments, entertainment","Smith, Corinna Haven Lindon (Putnam)"
Egypt,1937,"MC 433, Box 22, item 594",Middle East,"Volume containing a polished account of life in Quft, with visits to schools and temples and discussions of art. There are good accounts of everyday life in Egypt.",Loose notes re: Middle East; Journal re: Guft (Quft),"travel writing, work, road, mounted treks, households, food, agriculture, industry, clothing, art, markets, education, religion","Smith, Corinna Haven Lindon (Putnam)"
India,1958,A-130 5,South Asia,"Describes their hunting expedition in Baltistan, 1923.","""Shikar in Baltistan,"" Appalachia, December, 1958, by Mary Ogden Abbott","drawings, travel writing, road, plains, mountains, hunting, natural history, rivers, health and medicine, climate","Abbott, Mary Adams"
India,1953,A-108 Part 2 16-21,South Asia,"Diary and letters covering time spent in Pune at the Ashram School and visits to Calcutta, Madras, Benares and the Ganges. Mukti was Marion Code's Indian name.","""Journey to Nirvana"" by Mukti","diaries, travel writing, letters, pilgrimage, rail, road, climate, food, accommodation, natural history, clothing, housing, class, religion, politics, monuments, customs, marriage, health and medicine, history, markets, festival, agriculture, music, language, spirituality","Code, Marion Osborne (Graves)"
"India",1954,A-108 Part 3 22-25,"South Asia, Europe","Diary and letters covering time spent at Sevagram at the Ashram School including descriptions of visits to Delhi, Benares and Taj Mahal. Mukti was Marion Code's Indian name","""Journey to Nirvana"" by Mukti","diaries, letters, travel writing, natural history, rail, monuments, education, industry, agriculture, accommodation, food, religion, housing, clothing, marriage, customs, festival, health and medicine, music, spirituality, climate","Code, Marion Osborne (Graves)"
"India",1954,A-108 Part 4 26-31,"South Asia, Russia",Diary and letters covering her time at Sevagram Ashram School and in the Himalayas. Also included are details of her death. Mukti was Marion Code's Indian Name.,"""Journey to Nirvana"" by Mukti","diaries, letters, travel writing, natural history, rail, monuments, education, industry, agriculture, accommodation, food, religion, housing, clothing, marriage, customs, festival, health and medicine, music, spirituality, jungle, politics, climate","Code, Marion Osborne (Graves)"
Italy,1923,"MC 553, 12.4",Europe,"Cornelia Cannon, her sister Ida and Katherine Crothers travel around Sicily by train. They see many ancient and historical sights including: churches, chapels, cathedrals, frescoes, catacombs, museums, baths and temples. Comment is also made about the local countryside they pass through.","Travel writings, 'Visit to Sicily during a European Trip in 1923 (March to June)'","art, architecture, rail, monuments, accommodation, tourism, shopping, ancient ruins","Cannon, Cornelia James"
Italy,1929,"MC 553, 12.7-12.8",Europe,"Sketches and drawings that accompany Cornelia Cannon's Travel writings, 'Art Awheel in Italy', (Version II). Drawings depict: Cornelia and her family in the car they travelled in, the women looking up at the Sistine Chapel, changing a tire, reading letters from home, rowing on a lake, Ponte d'Augusto in Rimini, animals in a zoo in Rome and other scenes from the Cannon's travels.","Travel writings, hand-coloured and pencil sketches removed from Travel writings, 'Art Awheel in Italy', Version II (Reference: MC 553, 12.6v)",drawings,"Cannon, Cornelia James"
Italy,1907,"A 61, v256",Europe,A diary of her trip to Italy with descriptions of cities visited.,Trip to Italy. March-June 1907,"diaries, sea voyage, travel writing, tourism, mountains, ancient ruins, food, entertainment, climate, industry, housing, clothing, natural history, monuments, art, religion, accommodation, history","Kitchelt, Florence Ledyard (Cross)"
