,Number,ratings2,ratings1,counts2,counts1,dev2,dev1,Text,length,word_leng,group
16,17,0.6746127347510456,-1.2881012899622644,50692,73413.0,5.306346599714129,4.4391835068599415,How many men does it take to screw in a light bulb?One. Men will screw anything.,16,short,4
17,18,-0.12753183441174148,-0.9061631518718338,50692,73404.0,5.157550697538675,4.9931846159700255,"A dog walks into Western Union and asks the clerk to send a telegram. He fills out a form on which he writes down the telegram he wishes to send:Bow wow wow, bow wow wow.The clerk says, You can add another Bow wow for the same price.The dog responded, Now wouldnt that sound a little silly?",56,medium,6
18,19,0.7746433115679002,0.17155981799852718,50692,73406.0,5.314873711487832,5.0485614126251175,"Q:If a person who speaks three languages is called trilingual, and a person who speaks two languages is called bilingual, what do you call a person who only speaks one language?A:American!",31,short,1
19,20,-0.7028164272890485,-1.2032695818008254,557,73410.0,5.675657931514326,5.158966416116988,Whats the difference between a Macintosh and an Etch-a-Sketch?You dont have to shake the Mac to clear the screen.,19,short,3
20,21,2.9891908881691096,2.1068039718573632,11732,57706.0,5.053295585914328,4.941083128657189,"Whats the difference between a used tire and 365 used condoms?Ones a Goodyear, the others a great year.",18,short,3
21,22,1.2845631711295364,0.8813262231574958,7357,41818.0,5.103512899417349,5.147767093035228,"A duck walks into a pharmacy and asks for a condom. The pharmacist asks, Would you like me to stick that on your bill? The duck says:br />What kind of duck do you think I am!",36,short,2
22,23,1.081557606263982,0.17138772358769833,6705,38855.0,5.078452568697847,5.163199299671843,Q:What is the Australian word for a boomerang that wont come back?A:A stick.,13,very short,5
23,24,-1.057448462041885,-1.7308062025479296,4584,31084.0,5.626845498502841,5.25570724355994,What do you get when you run over a parakeet with a lawnmower?Shredded tweet.,14,very short,1
24,25,1.2027819805387443,0.4183960841511989,8427,40451.0,5.112047660772083,5.093072024201756,"Two kindergarten girls were talking outside:one said, You wont believe what I saw on the patio yesterday. condom!The second girl asked, Whats a patio?",24,short,3
25,26,2.5151284922158244,1.2071649526943604,9378,48620.0,4.971490432371941,4.890584434747422,"A guy walks into a bar and sits down next to an extremely gorgeous woman. The first thing he notices about her though, are her pants. They were skin-tight, high-waisted and had no obvious mechanism (zipper, buttons or velcro) for opening them. After several minutes of puzzling over how she got the pants up over her hips, he finally worked up the nerve to ask her. Excuse me miss, but how do you get into your pants?Well, she replied, you can start by buying me a drink.",87,long,8
26,27,2.9338485054347827,2.9079890132608406,368,67718.0,5.397028471090051,4.734049721586279,"Bill Clinton returns from a vacation in Arkansas and walks down the steps of Air Force One with two pigs under his arms. At the bottom of the steps, he says to the honor guardsman, These are genuine Arkansas Razor-Back Hogs. I got this one for Chelsea and this one for Hillary.The guardsman replies, Nice trade, Sir.",57,medium,7
27,28,2.150815355329949,1.3926599571561324,9850,49482.0,5.102253895381609,5.076002794650689,"A mechanical engineer, an electrical engineer, and a software engineer from Microsoft were driving through the desert when the car broke down.The mechanical engineer said:It seems to be a problem with the fuel injection system, why dont we pop the hood and Ill take a look at it? To which the electrical engineer replied, No, I think its just a loose ground wire, Ill get out and take a look.Then the software engineer from Microsoft jumps in. No, no, no. If we just close up all the windows, get out, wait a few minutes, get back in, and then reopen the windows everything will work fine.",106,long,7
28,29,3.0458418703986663,2.619509729367041,14398,67065.0,4.8868303367858426,4.956544223908666,"An old Scotsman is sitting with a younger Scottish gentleman and says to the boy, Ah, lad, look out that window. You see that stone wall there? I built it with me own bare hands, placed every stone meself. But do they call me MacGregor the wall builder? No!He takes a few sips of his beer then says, Aye, and look out on that lake and eye that beautiful pier. I built it meself, laid every board and hammered each nail, but do they call me MacGregor the pier builder? No!He continues:And lad, you see that road? That too I build with me own bare hands. Laid every inch of pavement meself, but do they call MacGregor the road builder? No!Again he returns to his beer for a few sips, and then says, Agh, but you screw one sheep.",139,long,6
29,30,1.0488805970149253,-0.4743348276748234,5360,35021.0,4.9324942324507175,4.9971020437652225,Q:Whats the difference between a lawyer and a plumber? A:A plumber works to unclog the system.,16,short,3
30,31,2.372554347826087,1.953046567260824,230,55597.0,5.100907009238887,5.027776139800396,"President Clinton looks up from his desk in the Oval Office to see one of his aides nervously approach him.What is it? exclaims the President.Its this Abortion Bill, Mr. President. What do you want to do about it? the aide asks.Just go ahead and pay it, responds the President.",49,medium,1
31,32,3.5045560773603337,2.974697888386127,22518,66300.0,4.449738370947285,4.620225343552159,"A man arrives at the gates of heaven. St. Peter asks, Religion? The man says, Methodist. St. Peter looks down his list, and says, Go to room 24, but be very quiet as you pass room 8.Another man arrives at the gates of heaven. Religion? Baptist. Go to room 18, but be very quiet as you pass room 8.A third man arrives at the gates. Religion? Jewish. Go to room 11, but be very quiet as you pass room 8. The man says, I can understand there being different rooms for different religions, but why must I be quiet when I pass room 8? St. Peter tells him, Well, the Catholics are in room 8, and they think theyre the only ones here.",123,long,1
32,33,-0.18426606007454505,-1.386393467831205,4561,32516.0,5.363975754053995,5.291157250723444,What do you call an American in the finals of the world cup?Hey beer man!,15,short,9
33,34,0.7256211010178395,0.9218646247369592,9137,42770.0,5.0798287219140255,5.060449302106844,"Out in the backwoods of some midwestern state, little Johnny arrives at school an hour late.Teacher:Why are you so late, John?Johny:My big brother got shot in the ass.(The teacher corrects his speech.)Teacher:Rectum.Johnny:Wrecked him!? Hell, It damn near killed him!",39,short,6
34,35,3.5601398431028604,2.7756063797773467,20523,66460.0,4.561134785403164,4.756097609466295,"An explorer in the deepest Amazon suddenly finds himself surrounded by a bloodthirsty group of natives. Upon surveying the situation, he says quietly to himself, Oh God, Im screwed.The sky darkens and a voice booms out, No, you are NOT screwed. Pick up that stone at your feet and bash in the head of the chief standing in front of you.So with the stone he bashes the life out of the chief. He stands above the lifeless body, breathing heavily and looking at 100 angry natives.The voice booms out again, Okay.OW youre screwed.",93,long,7
35,36,2.9240888329604773,2.917244962355233,16092,68137.0,4.5968317151193165,4.5159174951308625,"A guy walks into a bar, orders a beer and says to the bartender, Hey, I got this great Polish Joke.The barkeep glares at him and says in a warning tone of voice:Before you go telling that joke you better know that Im Polish, both bouncers are Polish and so are most of my customers.Okay, says the customer. Ill tell it very slowly.",63,medium,7
36,37,0.15967732279693486,-1.4092875193843035,6264,34822.0,5.296446992451544,5.23504235835979,"A Jewish young man was seeing a psychiatrist for an eating and sleeping disorder.I am so obsessed with my mother.As soon as I go to sleep, I start dreaming, and everyone in my dream turns into my mother. I wake up in such a state, and all I can do is go downstairs and eat a piece of toast.The psychiatrist replies, What, just one piece of toast, for a big boy like you?,",73,medium,2
37,38,1.8343873636254648,1.3486977666858688,8341,46881.0,5.028895264247241,5.025460199154104,"May I take your order? the waiter asks.Yes, how do you prepare your chickens?Nothing special, sir, he replies. We just tell them straight out that theyre going to die.",29,short,7
38,39,1.7371256805807622,1.1006554685526708,8816,47508.0,5.0640186882903695,4.900422823393826,What is the difference between men and women?A woman wants one man to satisfy her every need.A man wants every woman to satisfy his one need.,26,short,8
39,40,1.5143136557610242,1.0336307067531336,7030,45801.0,5.165001176122582,5.0977262393276535,How many Irishmen does it take to change a lightbulb?Two. One to hold the lightbulb and the other to drink until the room spins.,24,short,1
40,41,0.08277825728009608,-0.3765429180089334,6662,38492.0,5.8705253589992825,5.522647809373404,What does an atheist say during an orgasm?Oh Darwin! Oh Darwin!,11,very short,2
41,42,1.596507556465899,1.7417501201878491,9032,54082.0,5.063197124866306,4.982824577242834,"Two men are discussing the age old question:who enjoys sex more, the man or the woman? A woman walks by and listens in for a while and then interrupts,br />Listen, you guys. You know when your ear itches and you put in your little finger and wiggle it around for a while? Afterward, which feels better, your finger or your ear?",61,medium,8
42,43,0.3013930722891566,-0.8343764555838963,166,36068.0,5.815762581274682,5.315725696558384,"Arnold Schwarzenegger and Sylvester Stallone are making a movie about the lives of the great composers.Stallone says, I want to be Mozart.Swartzeneger says, In that case.Ill be Bach.",28,short,2
43,44,-0.985105561277034,-1.9983055984785312,4855,33652.0,5.806704115798586,5.324554834097334,"A horse walks into a bar. The bartender asks:br />So, why the long face?",14,very short,2
44,45,1.58631782675408,1.0354731599335996,7169,43368.0,5.004528930496213,4.923437465046175,"A boy comes home from school and tells his mother that he got a part in the school play. What part? the mother asks. I play a Jewish husband, the boy replies.Go back to school and tell your teacher that you want a speaking role!",45,medium,6
45,46,1.3185297328204597,1.2745393111614625,9619,48981.0,5.055979777578286,5.160779261244303,"A couple has been married for 75 years. For the husbands 95th birthday, his wife decides to surprise him by hiring a prostitute. That day, the doorbell rings. The husband uses his walker to get to the door and opens it.A 21-year-old in a latex outfit smiles and says, Hi, I here to give you super sex!The old man says, Ill take the soup.",64,medium,8
46,47,2.9877224744796496,1.3379652976059702,15086,45530.0,4.6915887619612615,5.058008453729871,"There was an engineer who had an exceptional gift for fixing all things mechanical. After serving his company loyally for over 30 years, he happily retired. Several years later the company contacted him regarding a seemingly impossible problem they were having with one of their multi-million dollar machines. They had tried everything and everyone else to get the machine fixed, but to no avail. In desperation, they called on the retired engineer who had solved so many of their problems in the past.The engineer reluctantly took the challenge. He spent a day studying the huge machine. At the end of the day, he marked a small x in chalk on a particular component of the machine and proudly stated,br />This is where your problem is.The part was replaced and the machine worked perfectly again. The company received a bill for $50,000 from the engineer for his service. They demanded an itemized accounting of his charges. The engineer responded briefly:br />One chalk mark:$1.Knowing where to put it,$49,999.He was paid in full and the engineer retired again in peace.",177,very long,7
47,48,2.731920855978261,1.7741796838723116,11040,53839.0,4.952407551064646,4.981591220241361,"The graduate with a Science degree asks, Why does it work?The graduate with an Engineering degree asks, How does it work?The graduate with an Accounting degree Asks, How much will it cost?The graduate with a Liberal Arts degree asks, Do you want fries with that?",45,medium,2
48,49,3.0900874004845966,2.5154166116684458,14445,60608.0,4.5712063145484905,4.741571373035866,"Three engineering students were gathered together discussing the possible designers of the human body.One said, It was a mechanical engineer. Just look at all the joints.Another said, No, it was an electrical engineer. The nervous systems many thousands of electrical connections.The last said, Actually, it was a civil engineer. Who else would run a toxic waste pipeline through a recreational area?",61,medium,7
49,50,3.273599333737129,3.3625929395733016,16510,70449.0,4.716589770410692,4.412412411327827,"A guy goes into confession and says to the priest, Father, Im 80 years old, widower, with 11 grandchildren. Last night I met two beautiful flight attendants. They took me home and I made love to both of them. Twice.The priest says, Well, my son, when was the last time you were in confession?Never Father, Im Jewish.So then, why are you telling me?Im telling everybody!",65,medium,6
50,51,-0.4471009036144578,-0.8169128959568995,166,38609.0,5.455571964082874,5.412556057322968,Did you hear that Clinton has announced that there is a new national bird?The spread eagle.,16,short,5
51,52,0.09318862275449102,-0.20111833709629828,167,40748.0,5.412191909583858,5.19370005937068,Q:What do Monica Lewinsky and Bob Dole have in common?A:They were both upset when Bill finished first.,17,short,1
52,53,3.7142493831435854,2.5502391602552463,23101,67068.0,4.371268806694595,4.9411774701518345,"One Sunday morning William burst into the living room and said, Dad! Mom! I have some great news for you! I am getting married to the most beautiful girl in town. She lives a block away and her name is Susan.After dinner, Williams dad took him aside. Son, I have to talk with you. Your mother and I have been married 30 years. Shes a wonderful wife but she has never offered much excitement in the bedroom, so I used to fool around with women a lot. Susan is actually your half-sister, and Im afraid you cant marry her.William was heart-broken. After eight months he eventually started dating girls again. A year later he came home and very proudly announced, Dianne said yes! Were getting married in June.Again his father insisted on another private conversation and broke the sad news. Dianne is your half-sister too, William. Im awfully sorry about this.William was furious! He finally decided to go to his mother with the news.Dad has done so much harm.I guess Im never going to get married, he complained. Every time I fall in love, Dad tells me the girl is my half-sister.His mother just shook her head. Dont pay any attention to what he says, dear. Hes not really your father.",211,very long,6
53,54,2.94860635605835,2.405779519048884,16795,55515.0,4.775497956733804,4.994312841461749,"The Pope dies and, naturally, goes to heaven. Hes met by the reception committee, and after a whirlwind tour he is told that he can enjoy any of the myriad of recreations available.He decides that he wants to read all of the ancient original text of the Holy Scriptures, so he spends the next eon or so learning languages. After becoming a linguistic master, he sits down in the library and begins to pour over every version of the Bible, working back from most recent Easy Reading to the original script.All of a sudden there is a scream in the library. The angels come running in only to find the Pope huddled in his chair, crying to himself and muttering, An R! The scribes left out the R! A particularly concerned angel takes him aside, and offering comfort, asks him what the problem is and what he means.After collecting his wits, the Pope sobs again, Its the letter R. They left out the R. The word was supposed to be CELEBRATE!",171,very long,6
54,55,0.4521526528776978,0.3824500161038554,5560,40363.0,5.448024285101737,5.262125961552874,"A woman has twins, and gives them up for adoption. One of them goes to a family in Egypt and is named Amal. The other goes to a family in Spain; they name him Juan. Years later, Juan sends a picture of himself to his mom. Upon receiving the picture, she tells her husband that she wishes she also had a picture of Amal.Her husband responds, But they are twins--if youve seen Juan, youve seen Amal.",76,medium,6
55,56,2.4892251914616264,1.6860315217790318,12274,54502.0,4.8126929385406605,4.895872943099174,"A man and Cindy Crawford get stranded on a desert island. After a couple of days they fall in love and start sleeping together. Time passes and the man seems frustrated. Cindy asks if there is anything she can do, and he says there is one thing:Could you put on this baseball cap and go to the other side of the island and answer me when I call you Bob? She agrees. The next day he is walking on the other side of the island and runs into her. He says, Hi Bob!She says, Hello, whats up?He replies, Bob, you wont believe it:Ive been sleeping with Cindy Crawford for the past two weeks!",113,long,9
56,57,-0.4809000491159136,-1.9408095353339645,5090,33056.0,5.950808061344758,5.442447756100174,Why are there so many Joness in the phone book?Because they all have phones.,14,very short,1
57,58,-1.3918448920265778,-3.7045409911996,4816,32385.0,6.079201915155938,5.081552115226144,"How many teddy bears does it take to change a lightbulb?It takes only one teddy bear, but it takes a whole lot of lightbulbs.",24,short,2
58,59,1.2780316307795023,-0.521804464766007,5991,37180.0,4.944437496131592,4.971813752497399,"The Chukcha (Russian Eskimo) phones up the Russian Parliament Building. A guard answers.Chukcha:What is required to become Parliament member?Guard:What are you, an idiot?Chukcha:Is it required?",25,short,7
59,60,1.0873942452672138,-0.4068151374897924,5969,36730.0,5.337669004234042,5.461890176835716,What did the Buddhist say to the hot dog vendor?Make me one with everything.,14,very short,7
60,61,1.8911880630630635,2.0908191598268733,222,55679.0,5.232788591709424,4.832207103952985,"During a recent publicity outing, Hillary sneaked off to visit a fortune teller of some local repute. In a dark and hazy room, peering into a crystal ball, the mystic delivered grave news.Theres no easy way to say this, so Ill just be blunt:Prepare yourself to be a widow. Your husband will die a violent and horrible death this year.Visibly shaken, Hillary stared at the womans lined face, then at the single flickering candle, then down at her hands. She took a few deep breaths to compose herself. She simply had to know. She met the fortune tellers gaze, steadied her voice, and asked her question.Will I be acquitted?",109,long,1
61,62,3.3106313852163463,2.6762632522729457,16640,63574.0,4.666460683707778,4.716362330926259,"A group of managers were given the assignment to measure the height of a flagpole. So they go out to the flagpole with ladders and tape measures, and theyre falling off the ladders, dropping the tape measures--the whole thing is just a mess. An engineer comes along and sees what theyre trying to do, walks over, pulls the flagpole out of the ground, lays it flat, measures it from end to end, gives the measurement to one of the managers and walks away.After the engineer has gone, one manager turns to another and laughs. Isnt that just like an engineer? Were looking for the height and he gives us the length.",111,long,7
62,63,2.994830701284797,0.25560520417113564,13076,41044.0,4.712516983972333,5.202210362262844,"An engineer, a physicist and a mathematician are sleeping in a room. There is a fire in the room. The engineer wakes up, sees the fire, picks up the bucket of water and douses the fire and goes back to sleep.Again there is a fire in the room. This time, the physicist wakes up, notices the bucket, fills it with water, calculates the optimal trajectory and douses the fire in minimum amount of water and goes back to sleep.Again there is a fire. This time the mathematician wakes up. He looks at the fire, looks at the bucket and the water and exclaims, A solution exists! and goes back to sleep.",111,long,1
63,64,-0.0805147800645682,-0.7168135621692758,4956,35717.0,5.1720259269065245,5.203665859411066,What is the rallying cry of the International Dyslexic Pride movement?Dyslexics Untie!,12,very short,1
64,65,2.5428895793499042,1.9904443279265518,10460,59123.0,5.235675618791521,5.186170678585938,"Two rednecks were seated at the end of a bar when a young lady seated a few stools up began to choke on a piece of hamburger. She was turning blue and obviously in serious respiratory distress. One said to the other, That gal there is having a bad time! The other agreed and said, Think we should go help? You bet, said the first, and with that, he ran over and said, Can you breathe? She shook her head no. He said, Can you speak? She again shook her head no. With that, he pulled up her skirt and licked her on the butt.She was so shocked, she coughed up the obstruction and began to breathe--with great relief.The redneck walked back to his friend and said, Funny how that hind lick maneuver always works.",135,long,0
65,66,2.7930438889582807,2.4430991038656242,16012,60482.0,4.808460447693031,4.770803049294373,"A lawyer opened the door of his BMW, when suddenly a car came along and hit the door, ripping it off completely. When the police arrived at the scene, the lawyer was complaining bitterly about the damage to his precious BMW.Officer, look what theyve done to my Beeeeemer! he whined.You lawyers are so materialistic, you make me sick! retorted the officer. Youre so worried about your stupid BMW that you didnt even notice your left arm was ripped off!Oh my gaaaad. replied the lawyer, finally noticing the bloody left shoulder where his arm once was. Wheres my Rolex?!,",98,long,7
66,67,-0.0350752546380502,-0.9082790581855408,5498,36143.0,5.294953423319755,5.247124537670547,"Once upon a time, two brooms fell in love and decided to get married. Before the ceremony, the bride broom informed the groom broom that she was expecting a little whiskbroom. The groom broom was aghast!How is this possible? he asked. Weve never swept together!,",45,medium,6
67,68,3.3869329451660377,2.411570557822251,15629,60539.0,4.520948825693104,4.762432949837172,"A man piloting a hot air balloon discovers he has wandered off course and is hopelessly lost. He descends to a lower altitude and locates a man down on the ground. He lowers the balloon further and shouts, Excuse me, can you tell me where I am?The man below says, Yes, youre in a hot air balloon, about 30 feet above this field.You must work in Information Technology, says the balloonist.Yes I do, replies the man. And how did you know that?Well, says the balloonist, what you told me is technically correct, but of no use to anyone.The man below says, You must work in management.I do, replies the balloonist, how did you know?Well, says the man, you dont know where you are, or where youre going, but you expect my immediate help. Youre in the same position you were before we met, but now its my fault!",148,long,9
68,69,3.2497821215139444,2.2794106679096773,17068,60068.0,4.6140170539411525,4.84996011454237,"This guys wife asks, Honey, if I died would you remarry? and he replies, Well, after a considerable period of grieving, we all need companionship, so I guess I would.She then asks, If I died and you remarried, would she live in this house? and he replies, Weve spent a lot of time and money getting this house just the way we want it. Im not going to get rid of my house, so I guess she would.If I died and you remarried, and she lived in this house, would she sleep in our bed? and he says, That bed is brand new. We just paid two thousand dollars for it, and its going to last a long time, so I guess she would.So she asks, If I died and you remarried, and she lived in this house, and slept in our bed, would she use my golf clubs?Oh no, shes left handed.",153,very long,6
69,70,1.6866119217535365,0.5247166045449055,7847,41585.0,4.867744620460215,4.823841578371812,"Employer to applicant:In this job we need someone who is responsible.Applicant:Im the one you want. On my last job, every time anything went wrong, they said I was responsible.",29,short,5
70,71,1.0922543154178108,-0.9828413942177788,5098,18505.0,5.7585492738524815,5.814151232152453,"At a recent Sacramento PC Users Group meeting, a company was demonstrating its latest speech- recognition software. A representative from the company was just about ready to start the demonstration and asked everyone in the room to quiet down.Just then, someone in the back of the room yelled, Format C:Return.Someone else chimed in:Yes, Return.Unfortunately, the software worked.",57,medium,1
71,72,3.5051174107832526,2.6324214466469846,19419,18968.0,4.356285561996871,4.61223556218174,"On the first day of college, the Dean addressed the students, pointing out some of the rules:The female dormitory will be out-of-bounds for all male students and the male dormitory to the female students. Anybody caught breaking this rule will be finded $20 the first time. He continued, Anybody caught breaking this rule the second time will be fined $60. Being caught a third time will cost you a fine of $180. Are there any questions?At this point, a male student in the crowd inquired:How much for a season pass?",90,long,1
72,73,1.754678143712575,0.9674685568109096,167,18764.0,5.231086427327215,5.2306938018177185,"Q:What is the difference between George Washington, Richard Nixon, and Bill Clinton?A:Washington couldnt tell a lie, Nixon couldnt tell the truth, and Clinton doesnt know the difference.",27,short,3
73,74,-0.6042888165038002,-1.5582390664423778,4605,19024.0,5.361552088642187,5.058568581279326,"Q:How many stalkers does it take to change a light bulb?A:Two. One to replace the bulb, and the other to watch it day and night.",25,short,4
74,75,-0.8598994468404275,-0.4471430821737994,5333,19045.0,5.75708714945834,5.469840155447375,Q:Do you know the difference between an intelligent male and the Sasquatch?A:There have been actual reported sightings of the Sasquatch.,20,short,3
75,76,2.9223669445335045,2.344407558469717,15595,19369.0,4.6066825165802765,4.839896235601821,"There once was a man and a woman that both got in a terrible car wreck. Both of their vehicles were completely destroyed, buy fortunately, no one was hurt. In thankfulness, the woman said to the man, We are both okay, so we should celebrate. I have a bottle of wine in my car:lets open it. So the woman got the bottle out of the car, and handed it to the man. The man took a really big drink, and handed the woman the bottle. The woman closed the bottle and put it down. The man asked, Arent you going to take a drink? The woman cleverly replied, No, I think Ill just wait for the cops to get here.",120,long,8
76,77,1.5505923429683155,0.6437949243783635,7196,19505.0,5.167934727453708,5.1631016946100345,"If pro- is the opposite of con-, then congress must be the opposite of progress.",15,short,7
77,78,2.267949720210665,1.656368502316009,9114,19430.0,4.8267979387228825,4.964685092522491,Q:Whats the difference between the government and the Mafia?A:One of them is organized.,13,very short,3
78,79,0.29615796451152354,-0.14497783213575954,4903,19623.0,5.251471859879417,5.3119959820283436,"Q:Ever wonder why the IRS calls it Form 1040?A:Because for every $50 that you earn, you get 10 and they get 40.",22,short,7
79,80,2.2369011976047903,1.0265016924812755,167,19498.0,5.742112855880424,5.504189377810153,"Hillary, Bill Clinton and the Pope are sitting together on an airplane. Bill says, I could throw one thousand-dollar bill out of this plane and make one person very happy. Hillary says, I could throw 10 hundred-dollar bills out of the plane and make 10 people very happy.The Pope chips in and says, I could throw Bill out of the airplane and make the whole country happy.",67,medium,2
80,81,2.104749409427681,1.7482284967845625,9313,19904.0,5.425407317665645,5.352891157026682,"An Asian man goes into a New York CityBank to exchange 10,000 yen for American Currency. The teller gives him $72.00. The next month the Asian man goes into the same bank with 10,000 yen and receives $62.00. He asks, How come? Only $62.00? The teller says Fluctuations, fluctuations!Whereupon the Asian man looks back at the teller and says Fluk you Amelicans too!,",63,medium,9
81,82,1.253060632928659,0.6248744558064161,7331,19754.0,5.167079578866732,5.131963285074313,"Q:How do you keep a computer programmer in the shower all day long?A:Give them a shampoo with a label that says rinse, lather, repeat.",24,short,2
82,83,2.4670589604556907,1.9689874739039643,9129,20118.0,5.428184886330683,5.106105030114218,"What a woman says:This place is a mess! Cmon,you and I need to clean up,your stuff is lying on the floor andyoull have no clothes to wearif we dont do laundry right now!What a man hears:blah, blah, blah, blah, Cmonblah, blah, blah, blah, you and Iblah, blah, blah, blah, on the floorblah, blah, blah, blah, no clothesblah, blah, blah, blah, right now!",62,medium,9
83,84,2.1517290609137056,0.5243341958598721,7486,20096.0,4.900493653848238,5.14915565174805,"Q:What is the difference between mechanical engineers and civil engineers?A:Mechanical Engineers build weapons, civil engineers build targets.",17,short,3
84,85,0.2825140995721509,0.6312271655863336,5142,20364.0,5.443108576452357,5.3095066435752685,Q:How many presidents does it take to screw in a light bulb?A:It depends upon your definition of screwing a light bulb.,21,short,4
85,86,1.521713068995133,0.27030507979758595,6986,20552.0,5.016351709173553,5.192503168336715,"A neutron walks into a bar and orders a drink. How much do I owe you? the neutron asks.The bartender replies, For you, no charge.",25,short,9
86,87,2.412385546450372,1.8515249223487675,11959,20283.0,5.017205402544064,4.8244840218432765,"A man who recently completed a routine physical examination receives a phone call from his doctor. The doctor says, I have some good news and some bad news. The man says, Okay, give me the good news first. The doctor says, The good news is,you have 24 hours to live. The man replies, Shit! Thats the good news? Then whats the bad news?The doctor says, The bad news is:I forgot to call you yesterday.",74,medium,9
87,88,2.3073316283034955,1.965477958908078,9384,20734.0,4.8164171323868485,4.781697864507925,"A Czechoslovakian man felt his eyesight was growing steadily worse, and felt it was time to go see an optometrist.The doctor started with some simple testing, and showed him a standard eye chart with letters of diminishing size:CRKBNWXSKZY.Can you read this? the doctor asked.Read it? the Czech answered. Doc, I know him!",52,medium,9
